service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GN1 SA,0,0,0,0,0,0,0,20240512,20240810
GN9 SHOW,0,0,0,0,0,0,0,20240512,20240810
GNX2 MF,0,0,0,0,0,0,0,20240512,20240810
GN2 SA,0,0,0,0,0,0,0,20240512,20240810
GN4 SA,0,0,0,0,0,0,0,20240512,20240810
1N SHOW 3 WED,0,0,0,0,0,0,0,20240512,20240810
GN9 WED,0,0,0,0,0,0,0,20240512,20240810
GR3 NON UI,0,0,0,0,0,0,0,20240512,20240810
GR1 MF NOSCH,0,0,0,0,0,0,0,20240512,20240810
RUB 2 SCH MTTF,0,0,0,0,0,0,0,20240512,20240810
O4 RUBY MF,0,0,0,0,0,0,0,20240512,20240810
B4 SCH MTTF,0,0,0,0,0,0,0,20240512,20240810
BA2 SCH MF,0,0,0,0,0,0,0,20240512,20240810
GNX3 MF,0,0,0,0,0,0,0,20240512,20240810
I1 NONUI MF,0,0,0,0,0,0,0,20240512,20240810
G6 NON UI MF,0,0,0,0,0,0,0,20240512,20240810
5W 1 SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
G4 NON UI MF,0,0,0,0,0,0,0,20240512,20240810
9B 7E SHO MF,0,0,0,0,0,0,0,20240512,20240810
O1 MF,0,0,0,0,0,0,0,20240512,20240810
7E 5E SHOW MTTF,0,0,0,0,0,0,0,20240512,20240810
7W 5E AMSHOW MF,0,0,0,0,0,0,0,20240512,20240810
BZ2 SCH MTTF,0,0,0,0,0,0,0,20240512,20240810
Y4 SU,0,0,0,0,0,0,0,20240512,20240810
LM1 MF,0,0,0,0,0,0,0,20240512,20240810
I8 4S SCH WED,0,0,0,0,0,0,0,20240512,20240810
LM2 SA,0,0,0,0,0,0,0,20240512,20240810
3N SHOW MF,0,0,0,0,0,0,0,20240512,20240810
Y5 SA,0,0,0,0,0,0,0,20240512,20240810
Y2 NONUI MF,0,0,0,0,0,0,0,20240512,20240810
RV1 MF,0,0,0,0,0,0,0,20240512,20240810
16A 1 SHOW MF,0,0,0,0,0,0,0,20240512,20240810
GN9 MTTF,0,0,0,0,0,0,0,20240512,20240810
1S  SHOW 2,0,0,0,0,0,0,0,20240512,20240810
L2 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
I8 4S NOUI NOSCH,0,0,0,0,0,0,0,20240512,20240810
10E6E K12/URB ONLY,0,0,0,0,0,0,0,20240512,20240810
R2 MF,0,0,0,0,0,0,0,20240512,20240810
GR3 SU,0,0,0,0,0,0,0,20240512,20240810
3S 5W SHOW MF,0,0,0,0,0,0,0,20240512,20240810
5E SHOW 2 WED,0,0,0,0,0,0,0,20240512,20240810
7W SHOW WED,0,0,0,0,0,0,0,20240512,20240810
Y1 MF,0,0,0,0,0,0,0,20240512,20240810
1N SHOW 2,0,0,0,0,0,0,0,20240512,20240810
I2 SU,0,0,0,0,0,0,0,20240512,20240810
5W 3 SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
LM2 SU,0,0,0,0,0,0,0,20240512,20240810
1S 8E SHOW MF,0,0,0,0,0,0,0,20240512,20240810
GNX1 SHO MTTF,0,0,0,0,0,0,0,20240512,20240810
7W 2 SHOW HSEO,0,0,0,0,0,0,0,20240512,20240810
GREY MF SHOW,0,0,0,0,0,0,0,20240512,20240810
B3 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
GN3 SU,0,0,0,0,0,0,0,20240512,20240810
SV1 SU,0,0,0,0,0,0,0,20240512,20240810
O2 MF,0,0,0,0,0,0,0,20240512,20240810
GR5 MF,0,0,0,0,0,0,0,20240512,20240810
9A 7W SHOW MTTF,0,0,0,0,0,0,0,20240512,20240810
GR2 SU,0,0,0,0,0,0,0,20240512,20240810
B1 MF,0,0,0,0,0,0,0,20240512,20240810
1N SHOW HSEO,0,0,0,0,0,0,0,20240512,20240810
GN3 NOSCH CHA,0,0,0,0,0,0,0,20240512,20240810
9A SHOW WED,0,0,0,0,0,0,0,20240512,20240810
